event_date;event;source
06/09/2020;On 6 September 2020, Israeli military forces opened fire at an unknown Palestinian who tried to stab one of the soldiers, in Ariel, no one was injured in the clash.;Arab 48
08/09/2020;On 8 September 2020, armed Israeli settlers attacked and injured 3 Palestinian workers, in Berakha village.;Palestine News and Information Agency
12/09/2020;On 12 September 2020, an armed Israeli settler opened fire at a Palestinian house, in Hebron city, no one was injured as a result.;Palestine News and Information Agency
14/09/2020;On 14 September 2020, an Israeli settler ran over a Palestinian while driving on the main road of Huwwarah (Nablus). The Palestinian was seriously injured and hospitalized.;PLO Negotiations Affairs Department
16/09/2020;On 16 September 2020, 3 airstrikes by Israeli military forces hit Hamas positions, in At Tuffah, causing only materiel damage.;Palestine News and Information Agency
19/09/2020;On 19 September 2020, an Israeli settler ran over a Palestinian child in Khirbet Samra (Tubas, West Bank), causing injuries to the child.;Quds News Network
23/09/2020;On 23 September 2020, an IED balloon fired by an unknown group from Gaza, caused a fire in Kissufim.;"Liveuamap; Twitter"
29/09/2020;On 29 September 2020, an unidentified Palestinian group threw a pipe bomb at Israeli forces near the northern entrance of Azzun (Qalqilya, West Bank). There were no casualties.;Quds News Network
03/10/2020;On 3 October 2020, armed settlers attacked 2 Palestinian civilians, by beating them, in Huwwarah.;Palestine News and Information Agency
05/10/2020;On 5 October 2020, an airstrike by Israeli military forces hit a Hamas position, in Rafah, in retaliation to a rocket fired earlier from Gaza. Only material damage was done.;AFP
09/10/2020;On 9 October 2020, Israeli settlers from the Barakhah settlement opened fire at a Palestine-owned vehicle east of Burin village (Nablus). The settlers detained the owner of the vehicle and handled him to the security of the settlement.;PLO Negotiations Affairs Department
14/10/2020;On 14 October 2020, unknown armed men abducted 3 civilians from a Mosque, while they were praying at dawn in Khan Yunis city.;Ma'an News Agency
16/10/2020;On 16 October 2020, unidentified gunmen clashed with Palestinian forces in Hebron city (Hebron, West Bank). No casualties occurred.;Quds News Network
20/10/2020;On 20 October 2020, an unidentified Palestinian armed group fired a shell of unknown type from their position in Gaza (Gaza City) towards the Greenline.;PLO Negotiations Affairs Department
22/10/2020;On 22 October 2020, unidentified armed Palestinians fired two rockers from the Gaza Strip towards Ashqelon city (HaDarom) and the surrounding areas. Sirens sounded in Ashqelon. One rocket was intercepted, while the other landed in an open area . No property damage or injuries occurred.;Calcalist
23/10/2020;On 23 October 2020, Israeli warplanes launched an airstrike on an unidentified Palestinian group location in Deir al Balah province (Deir El Balah, Gaza Strip). No casualties occurred.;Quds News Network
25/10/2020;On 25 October 2020, an Israeli settler reportedly fired at the car of a Palestinian family near Al Quds-Jabal al Mukabbir neighborhood of Jerusalem (al Quds, West Bank), without resulting in any fatalities nor injuries.;Al Quds City
28/10/2020;On 28 October 2020, an Israeli settlers ran over and injured 1 Palestinian civilian in Ar Rifaiya village. It is unclear whether this was a deliberate attack or a road accident.;Palestine News and Information Agency
29/10/2020;On 29 October 2020, an Israeli settler ran over a Palestinian resident on the main road near the village of Ar Rifaiya (Hebron) east of Yuta. As a result, the civilian was taken to a hospital for treatment.;PLO Negotiations Affairs Department
30/10/2020;On 30 October 2020, Israeli military forces engaged in an armed clash with an unidentified armed group in the vicinity of the checkpoint Al Jalamah (Jenin). Israeli military forces then shot at a vehicle carrying 3 children, wounding one.;PLO Negotiations Affairs Department
04/11/2020;On 4 November 2020, Israeli military forces shot and killed an off-duty legal advisor with the rank of captain in the Palestinian Police near the Huwwarah checkpoint. The Israeli soldiers also prevented an ambulance from reaching him while he was injured, causing him to bleed out. The Israeli soldiers claimed that the Palestinian drew his weapon and opened fire at them.;"Arab 48; N12; Palestine News and Information Agency"
06/11/2020;On 6 November 2020, an Israeli settler ran over a Palestinian child near Haris (Salfit, West Bank). The child required medical attention.;Quds News Network
08/11/2020;On 8 November 2020, Israeli military forces shot and injured 1 Palestinian at the entrance of Mukhayyam al Fawwar Camp, the soldiers claimed he came close to an Israeli military observation tower. The injured Palestinian is from a village near the camp and is a teacher. The Israeli military claimed that the Palestinian tried to carry out a stabbing attack when they shot him in the leg.;"Palestine News and Information Agency; Xinhua"
09/11/2020;On 9 November 2020, the Israeli Military Forces opened fire towards a site used by an Unidentified Palestinian Armed Group east of Maghazi (Deir El Balah). Based on similar past events, it is assumed that the Israeli Military Forces fired shells towards the position.;PLO Negotiations Affairs Department
12/11/2020;On 12 November 2020, Palestinian forces shot 2 Palestinian on a motorcycle in Shuwaykah (Tulkarm, West Bank) hitting them in the leg. Both civilians were hospitalized.;Quds News Network
15/11/2020;On 15 November 2020, an airstrike by Israeli military forces hit a Hamas position to the south east of Khan Yunis city. The position was destroyed with no reported injuries.;"Ma'an News Agency; Palestine News and Information Agency"
17/11/2020;On 17 November 2020, an unidentified Palestinian group opened fire at Israeli forces that raided Jaba (Jenin, West Bank). No casualties occurred.;Quds News Network
20/11/2020;On 20 November 2020, an unidentified Palestinian group threw a pip bomb at Israeli forces positioned at the Qalandia checkpoint (Al Quds, West Bank).;Quds News Network
21/11/2020;On 21 November 2020, armed Israeli settlers attacked Palestinians in At Tuwani village. 1 Palestinian sustained minor injuries as a result of the attack.;Palestine News and Information Agency
22/11/2020;On 22 November 2020, an airstrike by Israeli military forces destroyed a Hamas Movement position in Tal Al Hawa area of Gaza city, causing material damages only.;Palestine News and Information Agency
24/11/2020;On 24 November 2020, Israeli settlers attacked 2 Palestinian civilians and sprayed them with pepper spray near Jinsafut village.;Palestine News and Information Agency
25/11/2020;On 25 November 2020, Israeli military forces opened fire at a Palestinian vehicle near Al Quds - Az Zaayyim check post, as a result 1 Palestinian was killed. Israeli media claims the driver of the vehicle intentionally tried to run over one of the soldiers, who opened fire after he was hit and lightly injured. The driver also presented false documents to the police before he conducted the attack.;"N12; Palestine News and Information Agency; Xinhua"
26/11/2020;On 26 November 2020, an armed clash broke out between Israeli military forces and Hamas Movement members in Qabatiyah (Jenin, West Bank), after they stormed the village to arrest several Hamas activists. There were no casualties.;Arab 48
27/11/2020;On 27 November 2020, an unidentified Palestinian group opened fire at Israeli military vehicles in Jenin (Jenin, West Bank). The Palestinian group also threw pipe bombs at the Israeli forces. No casualties occurred.;Quds News Network
29/11/2020;On 29 November 2020, an Israeli settler ran over 3 Palestinians (2 children and 1 woman) near the Ibrahimi mosque in Hebron city. The 3 Palestinians were injured and taken to the hospital. The source claimed this to have been car ramming 'attack'.;Arab 48
02/12/2020;Around 2 December 2020 (as reported), Israeli prison guards beat up a Palestinian prisoner after he complained of not feeling good in Kishon Prison.;Palestine News and Information Agency
06/12/2020;On 6 December 2020, armed Israeli settlers stormed Wadi al Rabab neighborhood in Al Quds-Silwan (West Bank) and attacked the local Palestinian landowners. No injuries occured.;Al Ray
11/12/2020;On 11 December 2020, an armed clash broke out between Al Gaabari clan militiamen and Palestinian police force in Hebron city, after the police stormed a clan meeting on the issue of the coronavirus restrictions. As a result 2 militiamen were injured from live bullets and several others from tear gas inhalation.;Arab 48
13/12/2020;On 13 December 2020, an Israeli settler ran over 2 Palestinians (a mother and her son) in Huwwarah village. The injured Palestinians were taken to the hospital for treatment. It is unclear whether this was a deliberate attack or an accident.;"PLO Negotiations Affairs Department; Press TV"
14/12/2020;On 14 December 2020, Palestinian militants hurled a homemade grenade at Israeli military forces at the checkpoint in Al Jalamah (Jenin, West Bank). There were no casualties.;Quds News Network
16/12/2020;On 16 December 2020, Israeli settlers beat a Palestinian worker to death in the Gilo settlement. The Palestinian was found with marks of violence on his body and a noose around his neck.;Arab 48
19/12/2020;On 19 December 2020, armed Palestinian militants opened fire at Israeli military forces at the checkpoint in Al Jalamah (Jenin, West Bank). There were no casualties.;Quds News Network
20/12/2020;On 20 December 2020, an unknown Palestinian gunman killed an Israeli female settler near Tal Menashe settlement. The Palestinian later confessed that he killed her for nationalistic motives after member of his family died from cancer in an Israeli prison.;AFP
21/12/2020;On 21 December 2020, an Israeli settlers from the Asfar settlement ran over and injured 1 Palestinian in Siir village.;Palestine News and Information Agency
